device_globalid,servicecomponent_globalid
49e38dd12f85640c9fc42fdcee8a48e6,4d881d56da051916848dc2ef2c5e2911
4649528befe3669fb98059532d29c56a,40c7a93a26ce4648b0bafbf5650e98b8
4db9905d5c40421dba6f3599eb0c1d04,4fe0104571c9b11ca41a1b30fbc42f28
462f76fee315e21ba55cce26c4cc34e9,439a239ec4e6b7bda462ead9769c4739
4bc195ebaccd3485b53103b8038657ca,4a6cb2adcddb27a1b76e661557a6e71c
4243e1ac7ac9cd5888d2f6dc032c3335,4db90b6ae4c320f7966b16f52780fe93
4c430bb1f584614a9a97f3e2230c6dbd,439a239ec4e6b7bda462ead9769c4739
4b3e3ac4e0227b7fb6427b66040d517e,4b7c1c95f962a4eca773a080327eb7f2
4405e47c30957571a3c283e93bd3833e,439a239ec4e6b7bda462ead9769c4739
4795dc80065f2caa9fcfd28c24af9040,4b7c1c95f962a4eca773a080327eb7f2
43bf5335fd5317cfa423f74d1cc66c75,48b2b5e0e38048de8dd9da03825a4d02
446ff4c5138d38899840c92248d0fe26,4fe0104571c9b11ca41a1b30fbc42f28
455dd0ffef9bdd78a1fa2b730aa980a3,48b2b5e0e38048de8dd9da03825a4d02
4953b8a24c8b8d5dbefd19820aa8f095,48b2b5e0e38048de8dd9da03825a4d02
450489e7dc30accf84f80c0892e24759,4fe0104571c9b11ca41a1b30fbc42f28
4f32a3463e834f1dbab78c2e5434b656,4b7c1c95f962a4eca773a080327eb7f2
4e539cacea2fe34b983b0025eadf4716,4b7c1c95f962a4eca773a080327eb7f2
4750dfb6d2a901a3a83c840a76849f3a,41fb05fadcafbf56a824af28c7fe10d4
475d25e69a0302ee95a358f3a60c8e28,47d489e637e1c35ebff0a9eeaddc51fc
4508d42a8bced1d5b285852b518cb4f9,47495666d3426c71b8464437141d76be
49bbb78f653f14eca614bfac181f571b,48b2b5e0e38048de8dd9da03825a4d02
409f165e3295bc9eb34365a60bbb6007,439a239ec4e6b7bda462ead9769c4739
